Timestamp,Date,Ethereum,Terra,BSC,Avalanche,Fantom,Solana,Tron,Polygon,Arbitrum,Cronos,Harmony,Osmosis,Klaytn,Waves,Heco,Ronin,Moonriver,Elrond,Aurora,Celo,Kava,Parallel,DefiChain,Mixin,Optimism,Metis,xDai,Thorchain,OKExChain,Near,Fusion,RSK,Oasis,Bitcoin,Stacks,Godwoken,Icon,Secret,Songbird,Boba,IoTeX,Algorand,Tezos,EOS,Telos,Moonbeam,Sifchain,Karura,Wanchain,Ontology,Stellar,KCC,Theta,smartBCH,Velas,Everscale,Sora,VeChain,Zilliqa,Fuse,Kardia,Nuls,Energi,Cosmos,CSC,Callisto,Nahmii,ThunderCore,Ultra,Meter,Elastos,NEO,EnergyWeb,Kusama,Cardano,TomoChain,Lamden,Conflux,Polkadot,Ergo,XDC,Shiden,Polis,Ubiq,ZYX,Hoo,Liquidchain,GoChain,HPB,Palm,EthereumClassic,zkSync
1601337600,29/09/2020,10822935997.559105,,,,,,289485932.0476609,,,,,,,,,,,,,254766059.8402946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601424000,30/09/2020,10695886657.842165,,,,,,289122060.57330006,,,,,,,,,,,,,243272698.14708328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601510400,01/10/2020,10529443541.23177,,,,,,243870379.13740358,,,,,,,,,,,,,249330785.14653358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601596800,02/10/2020,10605768838.058247,,,,,,215966550.6977371,,,,,,,,,,,,,242303165.68964684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601683200,03/10/2020,10144885850.302528,,,,,,205831818.76683447,,,,,,,,,,,,,222803771.5138656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601769600,04/10/2020,10307945636.896044,,,,,,213589099.25017738,,,,,,,,,,,,,229534375.65318164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601856000,05/10/2020,10251286369.916985,,,,,,209245679.37814814,,,,,,,,,,,,,223087484.2074575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601942400,06/10/2020,10105651840.598307,,,,,,205232545.82001463,,,,,,,,,,,,,223410784.1035064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602028800,07/10/2020,9790107905.0565,,,,,,200072199.5131172,,,,,,,,,,,,,219592619.52856848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602115200,08/10/2020,9502820539.177452,,,,,,198637028.80377448,,,,,,,,,,,,,206494204.44845188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602201600,09/10/2020,9610529053.15139,,,,,,194864116.03154173,2495.3418139221267,,,,,,,,,,,,204904875.02633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602288000,10/10/2020,10020433592.063421,,,,,,201313966.602323,48671.79240777189,,,,,,,,,,,,223933642.88106173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602374400,11/10/2020,10325747861.228287,,,,,,199975897.43873468,142895.41101674622,,,,,,,,,,,,232459528.7890064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602460800,12/10/2020,10334605300.219242,,,,,,196778832.46655303,653286.6115043259,,,,,,,,,,,,223911717.46099654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602547200,13/10/2020,10361299307.125792,,,,,,193274705.64543027,665985.7969070779,,,,,,,,,,,,229892063.6628252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602633600,14/10/2020,10429493276.36537,,,,,,194627432.19198993,765177.0304369447,,,,,,,,,,,,231366764.47758797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602720000,15/10/2020,10383765764.9351,,,,,,203283733.64358008,825073.5318309937,,,,,,,,,,,,224416420.4976447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602806400,16/10/2020,10266166493.405195,,,,,,209914921.7565772,821379.5049016834,,,,,,,,,,,,218303946.06978452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602892800,17/10/2020,10056511386.64001,,,,,,205994839.43966848,801298.4207264773,,,,,,,,,,,,218752546.08782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602979200,18/10/2020,10022198986.228949,,,,,,209809793.76297164,404150.8775314524,,,,,,,,,,,,218348130.84191394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603065600,19/10/2020,10088255787.041367,,,,,,210119097.7220196,420991.5526372453,,,,,,,,,,,,217870328.817932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603152000,20/10/2020,10126039555.07266,,,,,,207614296.02783144,421641.4054786735,,,,,,,,,,,,221605895.4924169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603238400,21/10/2020,9931317693.898586,,,,,,196095897.36161262,415225.76590155053,,,,,,,,,,,,214426631.04593337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603324800,22/10/2020,10005573695.42341,,,,,,197912264.9761964,415286.7210985184,,,,,,,,,,,,215059305.5168777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603411200,23/10/2020,10099071635.101538,,,,,,215376665.0193139,389834.116744257,,,,,,,,,,,,213600434.51488236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603497600,24/10/2020,10289459389.103188,,,,,,214510671.60947135,339582.07525370485,,,,,,,,,,,,214458393.07083264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603584000,25/10/2020,10388985879.451586,,,,,,218394195.21017495,428316.5561107222,,,,,,,,,,,,211318797.92193002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603670400,26/10/2020,11755291446.556946,,,,,,217978157.4538656,751690.2577768654,,,,,,,,,,,,209187405.45937172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
