slug,yearly_growth
graphlinq-protocol,inf
blank-wallet,inf
liquity,inf
epns,inf
sparkpoint,19.406899321645728
ampleforth-governance-token,inf
xend-finance,inf
smoothy,inf
ureeqa,inf
uncx,53.97886711184893
trias-token,inf
gitcoin,inf
covalent,inf
fox-token,86.77118436815606
clover,inf
fear-nfts,inf
chartex,inf
punk,nan
atari-token,23.14883532394468
vegaprotocol,inf
p-matic-network,26.991544882759978
dafi-protocol,15.628562553706416
yield-app,20.209222876531108
lossless,inf
dehive,inf
magic-internet-money,inf
beyond-protocol,inf
bloomzed-token,inf
define,nan
hunt,inf
lgcy-network,26.17495662959803
metisdao,inf
peakdefi,110.65027809707962
revolution-populi,inf
saito,inf
tokenpocket,inf
whale,50.81144871845539
biopassport-token,inf
domraider,inf
vempire-ddao,inf
p-genesis-worlds,-0.10672312805057094
biconomy,inf
ufo-gaming,inf
defi-yield-protocol,1.4718826168191361
ispolink,14.418652802547633
stackos,inf
unido,3.252130610990041
sandclock,9.926479091830553
toncoin,14.549476169227994
somnium-space-cubes,0.27394419306184015
0xbtc,inf
adbank,inf
agrello-delta,inf
ankr,20.568134864959642
arbidex,nan
asian-fintech,inf
atomic-wallet-coin,21.089600249678618
aurora,58.83301900170537
axpire,nan
babb,62.46090448872833
beekan,inf
bee-token,nan
blockchain-certified-data-token,inf
bnktothefuture,73.36257247457038
budbo,inf
cononchain,inf
carry,125.95646204998457
ceek-vr,inf
chainlink,4.210930494775237
cindicator,24.744746980861905
cnns,inf
consensus,nan
cortex,inf
libra-credit,inf
crowd-machine,nan
cryptopay,inf
data-exchange,nan
davinci-coin,inf
dentacoin,88.72186639203932
dether,nan
docademic,inf
dragonchain,35.16819749651695
edgeless,inf
enjin-coin,8.0464153440173
faceter,nan
fortuna,nan
genaro-network,inf
goldmint,nan
herocoin,inf
huobi-token,10.641528199640108
hydro-protocol,inf
idex,48.63415862216883
indorse-token,inf
inmax,nan
kcash,inf
knoxstertoken,nan
kuende,nan
lisk-machine-learning,nan
livepeer,63.855302160264486
loom-network,inf
lympo,nan
maincoin,nan
medishares,inf
merculet,nan
monetha,inf
morpheus-network,inf
ndex,nan
nerves,nan
neurotoken,inf
nnb-token,inf
numeraire,58.795220377255376
oneroot-network,nan
onotoken,nan
platoncoin,nan
playkey,nan
polybius,inf
populous,27.63485289667205
propy,52.9945066091631
pton,nan
quanta-utility-token,inf
raiden-network-token,71.43110489828894
remme,nan
revain,inf
salt,60.9180278814383
sentinel,inf
sirin-labs-token,inf
solve,43.14807535196355
spankchain,inf
stableusd,inf
status,18.631524565255013
storm,inf
synthetix-network-token,inf
time-new-bank,inf
top,inf
transcodium,nan
u-network,nan
upfiring,nan
utrust,inf
verasity,inf
vibe,117.08973997749438
weth,2.1850052830467135
xinfin-network,nan
yeed,inf
zper,nan
bitrue-coin,nan
bosagora,inf
brz,inf
